365nm,405nm,473nm,530nm,575nm,621nm,660nm,735nm,770nm,830nm,850nm,890nm,940nm,label
11.89,26.23,73.04,53.0,0.47,24.5,6.54,114.43,19.53,69.77,94.18,9.48,23.66,0
13.46,28.6,78.0,58.09,0.5,27.82,8.12,119.05,20.0,70.87,95.52,11.13,24.31,0
13.9,29.46,79.8,60.03,0.37,27.7,8.66,121.93,21.22,72.23,98.43,11.25,24.64,0
13.94,30.85,81.57,60.59,0.39,28.31,8.39,123.46,20.82,72.3,100.16,11.9,24.9,0
13.64,29.36,78.93,57.88,0.59,27.8,8.19,122.63,20.24,72.04,100.03,10.36,25.16,0
15.22,30.36,81.14,60.3,0.55,29.47,9.6,124.8,20.42,73.4,99.41,11.45,25.82,0
13.86,29.12,80.32,58.5,0.46,28.09,8.75,121.59,20.09,70.68,98.47,11.25,24.9,0
14.34,30.22,82.5,59.93,0.44,28.67,8.21,121.42,20.01,71.79,100.91,11.34,24.86,0
14.99,32.22,86.07,63.86,0.69,30.56,9.33,125.05,20.62,73.17,101.94,11.8,26.13,0
13.55,28.26,77.26,57.53,0.39,26.2,7.4,119.75,20.07,73.51,96.05,10.57,23.93,0
13.53,28.33,80.65,60.19,0.51,27.18,7.59,121.83,20.68,73.08,98.05,10.51,24.72,0
13.64,28.57,78.47,56.64,0.5,27.14,7.48,120.02,20.41,72.31,97.18,10.73,24.47,0
14.7,29.89,81.77,61.08,0.6,28.83,8.72,124.47,21.16,73.88,100.19,11.45,24.49,0
13.89,29.38,80.09,58.45,0.47,27.93,8.46,122.51,21.24,72.9,99.62,11.27,24.62,0
13.59,28.88,80.68,58.62,0.58,27.52,7.9,124.61,20.61,73.33,100.2,10.86,24.99,0
14.05,29.86,80.17,58.4,0.56,28.14,8.8,124.22,20.63,73.05,99.86,11.78,25.28,0
14.71,30.95,83.55,61.1,0.52,29.64,8.56,124.9,21.03,73.5,100.82,11.45,25.69,0
14.42,29.43,80.88,58.9,0.75,28.37,7.59,121.08,20.47,72.46,100.34,11.2,24.8,0
13.19,29.07,79.96,58.79,0.57,27.77,8.21,119.59,20.52,71.58,99.98,11.52,25.16,0
14.11,27.78,76.98,56.78,0.55,25.6,7.76,119.08,20.06,72.05,96.48,9.21,23.72,0
13.17,27.69,76.27,56.5,0.51,25.58,7.72,118.44,20.36,71.72,97.55,10.21,24.38,0
